,아이디,댓글 내용,댓글 시간
125,  Tom Ghim,한국 법원은 개똥법원이다...뭐 애들 데리고 장난하듯 하는식의 형벌을 내리는데 그것도 형벌이라고 ..ㅉㅈ미국 같으면 적어도 15년형이다. 3년 ? 에라이 한심한 법이다. 그게 바로 아직 후진국 이라는것을 보여주는것이다.,4년 전
126,  윤상윤,종나웃겨ㅋㅋㅋㅋ,6년 전
127,  홍기천,그냥 감옥에서 나오지 말았으면...,1년 전
128,  둘기 • 158년 전,"연장 사용하는 놈은  깡패 양아치지 건달 이라고 부를수 없어,",4년 전(수정됨)
129,  Sung Min Lee Kim,저 판사 정말 저질이네,4년 전
130,  Daniel Kim,화려했던적 없다~미화하지 마라~,4년 전
131,  계정1,저분 겁나 잘아시네..ㄷ,2년 전
132,  confused caveman,역시 세월은 아무도 못이기네,5년 전
133,  백남진,이런 사람을 뭐하라고 살려서 도로 사회로 내놓는지 >>>>>>???,3년 전
134,  다람쥐하마,명언: 변호사 왈 “조폭 부인들이 미인이 많다”,2년 전
135,  뫙황,대한민국 좋은 나라야 양아치들을 대우 해주는 나라,3년 전
136,  슈퍼컴퓨터무결,한번 쓰레기는 영원히 쓰레기..,2년 전
137,  asdfishkk hoqwer,젊었을땐 연장쓰는 양아치 지금은 돈되는일이면 사기치는 양아치ㅋㅋ,5년 전
138,  최준,끝이 좋지않다.,3년 전
139,  스마트인생,이런게 뉴스에나오다니 ㅋㅋㅋㅋ,2년 전
140,  Minyong Kim,"정말... 언론이 미쳤다고 라고 밖에는 할말이 없다.... 조폭이 무슨 대단한 직업도 아니고, 험난한 노년이 당연한 귀결인데 예외적으로 이사람은 왜 이렇게 초라해.... 라고 제목 뽑는거 봐라. 이런 언론에 내 세금이 나가도 있다는게 개탄스럽다.",2년 전
141,  박성화,악한 짓 하던 ㄴ들이 노년에 잘살면 안되지요. 자기가 뿌린대로  거두는 게 이치에 맞습니다,4개월 전
142,  GO행자tv,사람죽였는데도 영화만들고  아무리생각해도 이나라 법은 대단하다,1년 전
143,  jin Kim,건달을 양아치로 바꾼 장본인.,6년 전
144,  거미,위험하네요,2년 전
145,  나그네,뿌린대로  거둘테지...!,6년 전
146,  박성용,신상사는 그래도 협객이었다,1년 전
147,  hunter J,아직 더 벌받아야지 양은아,4년 전
148,  moon su,깡패는 깡패지 저런사람이  예전에 영화찍고 멋잇는척하고 진짜 그시대는 쓰레기엿지.깡패는 깡패야,4년 전
149,  ᅲᅲ,쓰레기는 쓰레기일뿐 .. 사람 처럼 살지못하죠..,1년 전
150,  메시린가드,협객>>건달>조폭>깡패>양아치,4년 전
151,  지아智婭,여변님  참 한 말씀 판사출신 변호사답게  하시네요.소름이다...헐,1년 전
152,  한상량,조용기는 며느리 뺐기고도 양은이 키워 줬지요,3년 전
153,  MomitoSeo,3대 최악질 범죄조폭사기꾼성폭행범,3년 전
154,  김용민,조양은은 조폭 사이에서도 양아치 취급  한다는데,4년 전
155,  귀찝게아저씨 ear clip man,조폭없는 대한민국이 행복한 나라입니다.,2년 전
156,  모찌아빠,깡패? 그냥 개양아치다,6년 전
157,  2115수혁,조폭이  어때서지들 삶즐기면서 사는건데,3년 전
158,  igloo,잔고위조증명서로 대출받은것은 몇년일까요...,11개월 전
159,  어둠속의빛,이런거랑 같이 영화찍엇던 배우들은 모냐~'협박에 의해서냐 스스로 원해서냐~~정말 이해가 안간다.,3년 전
160,  호야,정경유착 안에 조폭 있는거 아니겠냐?! 다들 왜그래~,3년 전
161,  tj18681904,늙고 병들어도 호랑이는 호랑이구나.눈빛부터 보통 사람과 비교가 안됨..ㅋ.,3년 전
162,  헐크입네다,조폭은 원래 남 등쳐먹고 사는게 조폭이다..벌레라고 표현하는 이유가 다 있다,2년 전
163,  집중Mark,우리 와이프 벤츠 사줬더니 스크레치 하나 없이 운전 잘 하고 다님 ㅋㅋㅋㅋㅋㅋ 아무도 뭐라 안함 ㅋㅋ,2년 전
164,  바람나그네,조양은 잘 됐네요.축하하네요.,3년 전
165,  JINYEOL PARK,끝까지 목사에 탈 까지 쓰가며 비겁한짓과 못된 짓을 한놈 죽을 한 놈이죠 죽을때까지 닭장에서 처밖아  놓아야 한다,4년 전
166,  Kim Casey,삼청교육대 다시 만들어다 넣어라,6년 전
167,  R바종,칼휘둘고 폭력 쓰던놈이말년이 편하면 안되지 당연한결과아냐?!,4년 전
168,  vivi yun,무섭다!!,4년 전
169,  이준우,장애인돼거나 불구가 돼거나. 온갖질병으로 세상마감하지  깡패는 이거 3개 안빠지더라,6년 전
170,  etranger6256,"그래서 지금 남한산성을 부활시켜야된다,악질적인 조폭들만 골라 평생을노역으로 생을 마감하겠끔",3년 전
171,  NAEL,화려? 조폭인 직업도 아니고 그냥 나쁜겁니다. 바르게 삽시다!!,2년 전
172,  ha yuu,조폭 세계룰이래 ㅋㅋㅋ 그냥 칼빵놓으면 끝이지,6년 전
173,  뭐냐?,조양은 신이구만 건달의 최후는 딱 여기까지 ㅋㅋㅋ 미치것다 유흥업소 선불금 계약서 가지고 대출을 받았다 ㅋㅋ 답이 읍다 답이,2년 전
174,  효사,쇠파이프등 무기쓸때부터 끝났어 낭만주먹의 세계는 ㅠㅠ근데 예전에 쌍칼도 칼쓰지 않았나 ㅡㅡ;;,2년 전
175,  수진윤,ㅋㅋㅋ교도서에서 또싸움을ㅋ,6년 전
176,  박경자,그러게   !젊어서 열심히 일하지그랫나요!,2년 전
177,  하비스트,아주 여기나 거기나 왕노릇하는데사형을 시켜야한다,2년 전
178,"  트리미제,철리투스하람더힐,갤러리아포레",근데 이런 사람들은  짧고 굵게 사는게 모토라 정작  본인은 초라하다고 생각안할 것 같은데? 어차피  젊었을 때 해볼거 다 해봐서 ~,3년 전
179,  진심의말,혹시라도 차를 스치더라도 수리비가 어마어마하니까 내돈을 위해서 그러는거죠!^^,1년 전
180,  여남 재연,"그렇게, 남을 해코지 하고.사람죽이는걸 밥먹듯 한 인간이 말년이 좋으면 하나님도 너무 한거지.저런 인간은 진작에 사회에서 격리 시키고 남의 목숨 죽이는 인간들은 .그 인간들의 목숨도 죽여야 한다.!",2년 전
181,  기돌부,40억 대출 사기쳐도 징역 3년6개월,3년 전
182,  Priority Bob,이거 전체 댓글 다 보는 거 어떻게 하나요?수백개가 있어도 몇십개 밖에 못보게 되어있는데...,6년 전
183,  밥묵자,44억 사기치고 3년6개월 살면 사기칠만 하네.나라도 사기쳐보고 싶다고 생각들정도니 우리나라 법이 얼마나 정도가 약한지 알만하다,1년 전
