,아이디,댓글 내용,댓글 시간
195,  왕십리싸나이,4년지나도 별로달라진건없습니다,11개월 전
196,  리배현,참 도도한 서울이군 내가 이래서 서울이 싥타,6년 전
197,  테티스,저건 실험안해도 다 생활경험으로 알죠....,2년 전
198,  JY J,돈으로 사람 판단하는 천박한 근성 문제있다.기자도 욕먹어야 되는게 저거 실험한다고 일부러 도로에 멈춰서는건 교통 방해이다.,5년 전
199,  김하나,최근기사중 가장 찰졌네요...아웃곀...,1년 전
200,  ENTJ Jayturbo Bruce Lee,당근이져 그건 제가 사는 캘리포니아도 마찬가지 ㅎ 그래서 일 죽어라 해서 성공해서 훼 두대 포함 다량의 차량 (총 10대) 소유하는데 훼 탈때랑 다른거 탈때랑 완전히 다름 ㅎ,6년 전
201,  ajjal t,경차 약간 귀여운듯; ㅋㅋㅋ,1년 전
202,  전성환,0:42 여기에서는 뒤에차를 얘기하고 0:50 여기서는 옆에지나가는 차들을 얘기하면 어쩌자는건지,2년 전
203,  슬기로운 일상생활TV,운전무사고 23년  앞에 수입차 서면 괜시리 긴장됩니다 새차인경우는 더 심해요 ㅎ,2년 전(수정됨)
204,  ᅳ신재용이다어쩔래,0:47 어이쿠!기자 귀엽다,2년 전(수정됨)
205,  괴각자,기자:이 차는 이제 제 겁니다제 마음대로 사고 팔 수 있는 겁니다,4년 전
206,  PPA KKU ๛ 빠꾸,신호등 실험은 그냥 뒷 차가 얼마나 착한지에 따라서 실험 결과가 바뀌는거 같다,2년 전
207,  참치좋아,약자에게 강하고강자에겐 약하고,1년 전
208,  파커,버스기사: 누구든 내 앞을 가로막는다면 밀어버리겠다...화물기사:나두~경차가 무시당하는 이유는 여러가지가 있겠지만 가장큰 건 자동차를 오토바이처럼 운전한다는 것....,2년 전
209,  몰라라,법이 얼마나 개법이면 그럴까? 잘못을 해도 돈이 잘못을 바꿔버리는 현실을 개법이 만들고 고착시킨 결과지.,4개월 전
210,  BUGAT LOLA,저런 걸 시험 한 것도 대단한 민폐다 ㅋㅋ,3년 전
211,  바다소년,슈퍼카를 박으면 엄청난 후폭풍이있으니...,5년 전
212,  Para Bellum,진짜 의식이 어떻게 되어먹은거냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2년 전
213,  이수홍,슈퍼카 배려가 아니라 내 보험료 배려다....,9개월 전
214,  미친원숭이,기다려주는것은 그냥 버스기사가 착한걸수도 ㅋㅋ,6년 전
215,  제임스파커,비싸서 기다려주고 피하는것 보다 흔치않는 차니까 신기해서 관찰하는 시간이지ᆢ,9개월 전
216,  B OOM,우리도 이뉴스결과 처럼 다 이럴꺼잖아? 아닌척 선비짓좀 그만혀라여기서 나온 진짜나온 문제는 경차를 무시한다는거다 .우리누나 실화인데 모닝끌다가 남편차 K7 16년식 3~4천 정도 하는가격인데도 상대방의 운전태도다 달라진다는거다.사람들이 문제인게 사람 목숨보다 차 가격으로 그런걸 결정하는게 문제점이다.,5년 전
217,  battlemachine666,저거는 그냥 슈퍼카 부분의 사람들의 인성이 좋은게 아닐까 생각을 해봅니다,2년 전
