,아이디,댓글 내용,댓글 시간
153,  @user-qw6vm2kx6s,간호사 멋있는 영웅이시다ㅠ 멋쪄요 버스기사 구하려고 달려가고ㅠ 간호사님 멋쪄어ㅠ 사람목숨을 구하려고 달려가다니ㅠ,3년 전
154,  @user-jv7eo7zq6p,영웅은 누구나 될수없다. 하지만 영웅은 확실히 존재한다.,6년 전
155,  @user-pm8qf9pm1d,와 간호사분은 그냥 버스에 불나는데 들어가서 기사님을 구한게 멋있다,1년 전
156,  @user-yd7mv4kp5o,영웅이시네요와!!   제가  막  눈물이나요 정말정말  칭찬  드립니다^^,5개월 전
157,  @user-zj9vb7ct1n,천사두분.... 이런분들 덕분에 현실에 이상한 사람들이 많아도 세상이 맑다는 가치를 느낌...,1년 전
158,  @SeoYoonHyejinandHohyun,와 너무 멋집니다 ㅠㅠ 정말 히어로는 타고난게 아니라 이렇게 본능으로 탄생하는게 아닐까합니다,3년 전
159,  @user-bu2uw4vy7b,우리나라는 멋진분들이 참 많은것 같아요~^^ 감사하고ㆍ따뜻한 살기좋은 나라~~ 복받으실거예요~,2년 전
160,  @ksj4019,용감한 사람들..,6년 전
161,  @user-zo2bi8zz9o,간호사님 진짜대따천사ㅠ,3년 전
162,  @user-qn8mm5ls4z,"렉카기사님과 간호사님,정말 본능적으로 구하려는 모습이 보입니다.멋진분들이십니다.",3년 전
