,title,view,upload_date
202,"['의자를', '이용한', '거북목', '교정요가', '8분', '라운드숄더', '거북목', '교정요가', 'Fix', 'Rounded', 'Shoulders', 'by.지음요가', 'jiumyoga']",8.1천회,4년 전
203,"['거북목', '이', '동작을', '당장합니다', 'feat.', '흉쇄유돌근', '전경근막', '이복근', '광경근']",8.1천회,2년 전
204,"['장비소개', '거북목을', '방지합시다', '제가', '사용하고', '있는', '노트북', '모니터', '거치대를', '소개합니다.']",7.9천회,2년 전
205,"['마사지건으로', '거북목을', '확실하게', '풀어보자', '-현직', '도수치료사가', '알려주는', '꿀', 'TIP', '2탄']",7.7천회,2년 전
206,"['※거북목', '주목', '잘못된', '자세가', '화를', '부른다...', '교감신경을', '신경질', '나게', '하는', '진짜', '원인', '나는', '몸신이다', '295', '회']",7.7천회,2년 전
207,"['상체', '체형', '교정', '운동하고', '거북목&라운드', '숄더', '탈출하자', '+팔뚝살', '라인', '정리', '나는', '몸신이다', '373', '회']",7.6천회,8개월 전
208,"['거북목', '잡는', '새로운', '방법', ':역류성', '식도염,', '갑상선,', '편도선,', '목의', '이물감,', '목감기,', '목주름']",7.6천회,3년 전
209,"['거북목이', '나쁜게', '아니라', '나쁜자세로', '거북목을', '하니', '몸에', '안', '좋은', '거에요.']",7.6천회,9개월 전
210,"['자세교정', '거북목,', '라운드숄더', '이렇게', '쉽다', 'round', 'shoulder']",7.6천회,1년 전
211,"['방치하면', '목', '디스크로', '이어질', '수', '있다', '거북목증후군보다', '위험한', '버섯증후군의', '증상은', '옥탑방의', '문제아들', 'Problem', 'Child', 'in', 'House', 'KBS', '221012', '방송']",7.5천회,1개월 전
212,"['거북목', '교정', '목디스크에좋은', '운동', '일자목', '목통증', '스트레칭', '지압', '마사지', 'Forward', 'Head', 'Posture', 'Treatment', 'Neck', 'disc', 'exercise']",7.2천회,2년 전
213,"['거북목', '해결', '및', '방지', '운동', '데스런', '송창현']",7.1천회,3개월 전
214,"['거북목', '교정은', '이', '운동부터', '시작해보세요', 'shorts']",6.9천회,7개월 전
